"local_site","snow_treatment","location","distance_from_top","date","snow_depth","comments"
"Audubon","Control","Bottom",39,2018-05-07,NaN,""
"Audubon","Control","Bottommiddle",29.5,2018-05-07,NaN,""
"Audubon","Control","Middle",20,2018-05-07,NaN,""
"Audubon","Control","Top",1,2018-05-07,NaN,""
"Audubon","Control","Topmiddle",10.5,2018-05-07,NaN,""
"Audubon","Early","Bottom",39,2018-05-07,"215",""
"Audubon","Early","Bottommiddle",29.5,2018-05-07,"280",""
"Audubon","Early","Middle",20,2018-05-07,"210",""
"Audubon","Early","Top",1,2018-05-07,"130",""
"Audubon","Early","Topmiddle",10.5,2018-05-07,"200",""
"East_Knoll","Control","Bottom",39,2018-05-07,"183",""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-07,"115",""
"East_Knoll","Control","Middle",20,2018-05-07,"58",""
"East_Knoll","Control","Top",1,2018-05-07,"10",""
"East_Knoll","Control","Topmiddle",10.5,2018-05-07,"45",""
"East_Knoll","Early","Bottom",39,2018-05-07,"115",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-07,"115",""
"East_Knoll","Early","Middle",20,2018-05-07,"70",""
"East_Knoll","Early","Top",1,2018-05-07,"20",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-07,"30",""
"Lefty","Control","Bottom",39,2018-05-07,NaN,""
"Lefty","Control","Bottommiddle",29.5,2018-05-07,NaN,""
"Lefty","Control","Middle",20,2018-05-07,NaN,""
"Lefty","Control","Top",1,2018-05-07,NaN,""
"Lefty","Control","Topmiddle",10.5,2018-05-07,NaN,""
"Lefty","Early","Bottom",39,2018-05-07,"285",""
"Lefty","Early","Bottommiddle",29.5,2018-05-07,"340",""
"Lefty","Early","Middle",20,2018-05-07,"230",""
"Lefty","Early","Top",1,2018-05-07,"60",""
"Lefty","Early","Topmiddle",10.5,2018-05-07,"130",""
"Soddie","Control","Bottom",39,2018-05-08,"25",""
"Soddie","Control","Bottommiddle",29.5,2018-05-08,"35",""
"Soddie","Control","Middle",20,2018-05-08,"45",""
"Soddie","Control","Top",1,2018-05-08,"75",""
"Soddie","Control","Topmiddle",10.5,2018-05-08,"90",""
"Soddie","Early","Bottom",39,2018-05-08,"40",""
"Soddie","Early","Bottommiddle",29.5,2018-05-08,"50",""
"Soddie","Early","Middle",20,2018-05-08,"55",""
"Soddie","Early","Top",1,2018-05-08,"110",""
"Soddie","Early","Topmiddle",10.5,2018-05-08,"125",""
"Trough","Control","Bottom",39,2018-05-08,"250",""
"Trough","Control","Bottommiddle",29.5,2018-05-08,"270",""
"Trough","Control","Middle",20,2018-05-08,"290",""
"Trough","Control","Top",1,2018-05-08,"340",""
"Trough","Control","Topmiddle",10.5,2018-05-08,NaN,""
"Trough","Early","Bottom",39,2018-05-08,"255",""
"Trough","Early","Bottommiddle",29.5,2018-05-08,"255",""
"Trough","Early","Middle",20,2018-05-08,"325",""
"Trough","Early","Top",1,2018-05-08,"400",""
"Trough","Early","Topmiddle",10.5,2018-05-08,"400",""
"Audubon","Control","Bottom",39,2018-05-10,NaN,""
"Audubon","Control","Bottommiddle",29.5,2018-05-10,NaN,""
"Audubon","Control","Middle",20,2018-05-10,NaN,""
"Audubon","Control","Top",1,2018-05-10,NaN,""
"Audubon","Control","Topmiddle",10.5,2018-05-10,NaN,""
"Audubon","Early","Bottom",39,2018-05-10,"160",""
"Audubon","Early","Bottommiddle",29.5,2018-05-10,"255",""
"Audubon","Early","Middle",20,2018-05-10,"175",""
"Audubon","Early","Top",1,2018-05-10,"90",""
"Audubon","Early","Topmiddle",10.5,2018-05-10,"165",""
"East_Knoll","Control","Bottom",39,2018-05-10,"175",""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-10,"95",""
"East_Knoll","Control","Middle",20,2018-05-10,"52",""
"East_Knoll","Control","Top",1,2018-05-10,"0",""
"East_Knoll","Control","Topmiddle",10.5,2018-05-10,"32",""
"East_Knoll","Early","Bottom",39,2018-05-10,"80",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-10,"80",""
"East_Knoll","Early","Middle",20,2018-05-10,"45",""
"East_Knoll","Early","Top",1,2018-05-10,"0",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-10,"0",""
"Lefty","Control","Bottom",39,2018-05-10,NaN,""
"Lefty","Control","Bottommiddle",29.5,2018-05-10,NaN,""
"Lefty","Control","Middle",20,2018-05-10,NaN,""
"Lefty","Control","Top",1,2018-05-10,NaN,""
"Lefty","Control","Topmiddle",10.5,2018-05-10,NaN,""
"Lefty","Early","Bottom",39,2018-05-10,"260",""
"Lefty","Early","Bottommiddle",29.5,2018-05-10,"305",""
"Lefty","Early","Middle",20,2018-05-10,"200",""
"Lefty","Early","Top",1,2018-05-10,"30",""
"Lefty","Early","Topmiddle",10.5,2018-05-10,"100",""
"Soddie","Control","Bottom",39,2018-05-10,"25",""
"Soddie","Control","Bottommiddle",29.5,2018-05-10,"35",""
"Soddie","Control","Middle",20,2018-05-10,"42",""
"Soddie","Control","Top",1,2018-05-10,"62",""
"Soddie","Control","Topmiddle",10.5,2018-05-10,"50",""
"Soddie","Early","Bottom",39,2018-05-10,"10",""
"Soddie","Early","Bottommiddle",29.5,2018-05-10,"20",""
"Soddie","Early","Middle",20,2018-05-10,"30",""
"Soddie","Early","Top",1,2018-05-10,"75",""
"Soddie","Early","Topmiddle",10.5,2018-05-10,"100",""
"Trough","Control","Bottom",39,2018-05-10,"240",""
"Trough","Control","Bottommiddle",29.5,2018-05-10,"253",""
"Trough","Control","Middle",20,2018-05-10,"337",""
"Trough","Control","Top",1,2018-05-10,"285",""
"Trough","Control","Topmiddle",10.5,2018-05-10,"230",""
"Trough","Early","Bottom",39,2018-05-10,"250",""
"Trough","Early","Bottommiddle",29.5,2018-05-10,"230",""
"Trough","Early","Middle",20,2018-05-10,"295",""
"Trough","Early","Top",1,2018-05-10,"305",""
"Trough","Early","Topmiddle",10.5,2018-05-10,"280",""
"Audubon","Control","Bottom",39,2018-05-16,NaN,""
"Audubon","Control","Bottommiddle",29.5,2018-05-16,NaN,""
"Audubon","Control","Middle",20,2018-05-16,NaN,""
"Audubon","Control","Top",1,2018-05-16,NaN,""
"Audubon","Control","Topmiddle",10.5,2018-05-16,NaN,""
"Audubon","Early","Bottom",39,2018-05-16,"120",""
"Audubon","Early","Bottommiddle",29.5,2018-05-16,"100",""
"Audubon","Early","Middle",20,2018-05-16,"120",""
"Audubon","Early","Top",1,2018-05-16,"40",""
"Audubon","Early","Topmiddle",10.5,2018-05-16,"120",""
"East_Knoll","Control","Bottom",39,2018-05-16,"140",""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-16,"65",""
"East_Knoll","Control","Middle",20,2018-05-16,"30",""
"East_Knoll","Control","Top",1,2018-05-16,"0",""
"East_Knoll","Control","Topmiddle",10.5,2018-05-16,"0",""
"East_Knoll","Early","Bottom",39,2018-05-16,"15",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-16,"20",""
"East_Knoll","Early","Middle",20,2018-05-16,"0",""
"East_Knoll","Early","Top",1,2018-05-16,"0",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-16,"0",""
"Lefty","Control","Bottom",39,2018-05-16,NaN,""
"Lefty","Control","Bottommiddle",29.5,2018-05-16,NaN,""
