plant_id,treatment,insect_visitor,number_heads,total_viable_seeds
1,"SingleVisitor","bombylius_1",1,10
2,"SingleVisitor","muscidae_4",1,9
3,"SingleVisitor","diptera_1",1,5
4,"SingleVisitor","bombylius_1",1,4
5,"SingleVisitor","muscidae_8",1,10
6,"SingleVisitor","muscidae_7",1,2
7,"Closed","NA",1,9
8,"Closed","NA",2,16
10,"Closed","NA",1,10
11,"Closed","NA",1,6
12,"Closed","NA",1,5
14,"SingleVisitor","muscidae_9",2,7
15,"SingleVisitor","muscidae_9",2,7
16,"SingleVisitor","muscidae_10",1,2
17,"SingleVisitor","muscidae_10",1,1
18,"SingleVisitor","diptera_2",1,0
19,"SingleVisitor","muscidae_10",1,0
20,"Closed","NA",1,0
21,"Closed","NA",1,2
22,"Closed","NA",1,0
23,"SingleVisitor","muscidae_6",1,1
24,"SingleVisitor","muscidae_3",1,6
25,"SingleVisitor","muscidae_3",1,0
27,"Closed","NA",1,0
28,"Closed","NA",2,0
29,"Closed","NA",2,0
30,"Closed","NA",1,0
44,"SingleVisitor","muscidae_4",2,13
45,"SingleVisitor","syrphidae_2",1,0
46,"SingleVisitor","muscidae_4",1,6
47,"SingleVisitor","muscidae_8",1,4
48,"SingleVisitor","muscidae_4",1,6
50,"SingleVisitor","muscidae_8",1,5
51,"SingleVisitor","muscidae_4",2,13
52,"SingleVisitor","muscidae_4",2,14
53,"Closed","NA",2,17
54,"Closed","NA",2,17
55,"Closed","NA",1,0
57,"Closed","NA",1,0
63,"SingleVisitor","muscidae_2",2,21
64,"SingleVisitor","muscidae_2",2,21
66,"SingleVisitor","syrphidae_2",1,6
68,"SingleVisitor","syrphidae_1",2,1
69,"SingleVisitor","syrphidae_1",1,0
70,"Closed","NA",1,0
71,"Closed","NA",2,1
72,"SingleVisitor","muscidae_7",1,0
73,"SingleVisitor","muscidae_1",1,3
74,"SingleVisitor","muscidae_8",1,4
75,"SingleVisitor","muscidae_3",1,5
76,"SingleVisitor","muscidae_3",3,18
77,"SingleVisitor","muscidae_3",3,18
78,"SingleVisitor","muscidae_3",1,9
79,"Closed","NA",1,0
80,"Closed","NA",1,7
81,"Closed","NA",2,13
82,"Closed","NA",4,24
83,"Closed","NA",4,24
84,"SingleVisitor","muscidae_1",1,5
85,"SingleVisitor","syrphidae_3",1,6
86,"SingleVisitor","syrphidae_3",1,5
87,"Closed","NA",1,5
88,"Closed","NA",1,0
89,"Closed","NA",1,5
90,"Closed","NA",2,4
91,"SingleVisitor","syrphidae_4",1,0
92,"SingleVisitor","muscidae_8",1,4
93,"SingleVisitor","muscidae_8",1,9
94,"SingleVisitor","muscidae_8",1,0
95,"SingleVisitor","muscidae_1",1,1
96,"Closed","NA",2,0
97,"Closed","NA",2,0
98,"Closed","NA",1,8
99,"Closed","NA",1,8
101,"Open","NA",1,4
102,"Open","NA",1,10
103,"Open","NA",1,0
104,"Open","NA",1,3
105,"Open","NA",1,7
106,"Open","NA",1,0
107,"Open","NA",2,21
108,"Open","NA",4,25
109,"Open","NA",1,3
110,"Open","NA",1,8
111,"Open","NA",2,21
113,"Open","NA",2,7
114,"Open","NA",1,0
114,"Open","NA",1,0
115,"Open","NA",2,1
116,"Open","NA",1,7
117,"Open","NA",1,0
118,"Open","NA",3,13
119,"Open","NA",2,10
120,"Open","NA",2,8
121,"Open","NA",1,5
123,"Open","NA",1,7
124,"Open","NA",1,1
126,"Open","NA",2,18
127,"Open","NA",1,0
128,"Open","NA",3,19
129,"Open","NA",4,26
130,"Open","NA",2,1
