"LTER_site","local_site","year","snow_treatment","block","snowmelt_doy"
"NWT","East_Knoll",2018,"Early","A",136
"NWT","East_Knoll",2018,"Early","B",136
"NWT","East_Knoll",2018,"Early","C",136
"NWT","East_Knoll",2018,"Control","A",145
"NWT","East_Knoll",2018,"Control","B",145
"NWT","East_Knoll",2018,"Control","C",145
"NWT","Lefty",2018,"Early","A",155
"NWT","Lefty",2018,"Early","B",155
"NWT","Lefty",2018,"Early","C",155
"NWT","Lefty",2018,"Control","A",170
"NWT","Lefty",2018,"Control","B",170
"NWT","Lefty",2018,"Control","C",170
"NWT","Audubon",2018,"Early","A",149
"NWT","Audubon",2018,"Early","B",149
"NWT","Audubon",2018,"Early","C",149
"NWT","Audubon",2018,"Control","A",176
"NWT","Audubon",2018,"Control","B",176
"NWT","Audubon",2018,"Control","C",176
"NWT","Trough",2018,"Early","A",170
"NWT","Trough",2018,"Early","B",170
"NWT","Trough",2018,"Early","C",170
"NWT","Trough",2018,"Control","A",180
"NWT","Trough",2018,"Control","B",180
"NWT","Trough",2018,"Control","C",180
"NWT","East_Knoll",2019,"Early","A",158
"NWT","East_Knoll",2019,"Early","B",162
"NWT","East_Knoll",2019,"Early","C",171
"NWT","East_Knoll",2019,"Control","A",162
"NWT","East_Knoll",2019,"Control","B",164
"NWT","East_Knoll",2019,"Control","C",171
"NWT","Lefty",2019,"Early","A",171
"NWT","Lefty",2019,"Early","B",172
"NWT","Lefty",2019,"Early","C",193
"NWT","Lefty",2019,"Control","A",182
"NWT","Lefty",2019,"Control","B",182
"NWT","Lefty",2019,"Control","C",186
"NWT","Audubon",2019,"Early","A",171
"NWT","Audubon",2019,"Early","B",182
"NWT","Audubon",2019,"Early","C",182
"NWT","Audubon",2019,"Control","A",184
"NWT","Audubon",2019,"Control","B",189
"NWT","Audubon",2019,"Control","C",196
"NWT","Trough",2019,"Early","A",199
"NWT","Trough",2019,"Early","B",190
"NWT","Trough",2019,"Early","C",184
"NWT","Trough",2019,"Control","A",205
"NWT","Trough",2019,"Control","B",193
"NWT","Trough",2019,"Control","C",197
"NWT","East_Knoll",2020,"Early","A",133
"NWT","East_Knoll",2020,"Early","B",136
"NWT","East_Knoll",2020,"Early","C",141
"NWT","East_Knoll",2020,"Control","A",133
"NWT","East_Knoll",2020,"Control","B",133
"NWT","East_Knoll",2020,"Control","C",139
"NWT","Lefty",2020,"Early","A",155
"NWT","Lefty",2020,"Early","B",155
"NWT","Lefty",2020,"Early","C",168
"NWT","Lefty",2020,"Control","A",155
"NWT","Lefty",2020,"Control","B",165
"NWT","Lefty",2020,"Control","C",174
"NWT","Audubon",2020,"Early","A",156
"NWT","Audubon",2020,"Early","B",156
"NWT","Audubon",2020,"Early","C",160
"NWT","Audubon",2020,"Control","A",162
"NWT","Audubon",2020,"Control","B",176
"NWT","Audubon",2020,"Control","C",181
"NWT","Trough",2020,"Early","A",185
"NWT","Trough",2020,"Early","B",176
"NWT","Trough",2020,"Early","C",162
"NWT","Trough",2020,"Control","A",197
"NWT","Trough",2020,"Control","B",181
"NWT","Trough",2020,"Control","C",181
