"date","local_site","time_period","snow_treatment","location","rep","VWC"
2018-07-20,"Audubon","Mid Season","Control","Bottommiddle",3,1
2018-08-03,"East Knoll","Late Season","Control","Bottom",1,1.5
2018-08-09,"Soddie","Late Season","Control","Bottom",2,1.5
2018-08-09,"Soddie","Late Season","Early","Bottom",3,1.5
2018-08-13,"East Knoll","Late Season","Control","Middle",2,1.5
2018-08-13,"East Knoll","Late Season","Control","Bottommiddle",1,1.5
2018-08-13,"East Knoll","Late Season","Early","Topmiddle",3,1.5
2018-08-13,"East Knoll","Late Season","Early","Middle",2,1.5
2018-08-13,"Lefty","Late Season","Control","Top",1,1.5
2018-08-13,"Lefty","Late Season","Control","Top",2,1.5
2018-08-13,"Lefty","Late Season","Control","Top",3,1.5
2018-08-13,"Lefty","Late Season","Control","Middle",1,1.5
2018-08-13,"Lefty","Late Season","Early","Bottom",2,1.5
2018-08-13,"Soddie","Late Season","Control","Bottom",3,1.5
2018-08-13,"Soddie","Late Season","Early","Top",1,1.5
2018-06-27,"Lefty","Early Season","Early","Bottom",1,1.6
2018-07-20,"Lefty","Mid Season","Early","Middle",1,1.9
2018-08-09,"East Knoll","Late Season","Control","Bottom",1,1.9
2018-08-13,"East Knoll","Late Season","Control","Top",1,1.9
2018-08-13,"East Knoll","Late Season","Control","Top",3,1.9
2018-08-13,"East Knoll","Late Season","Control","Bottom",1,1.9
2018-08-13,"East Knoll","Late Season","Early","Bottommiddle",1,1.9
2018-08-13,"Lefty","Late Season","Control","Topmiddle",3,1.9
2018-08-13,"Lefty","Late Season","Early","Topmiddle",1,1.9
2018-08-13,"Lefty","Late Season","Early","Topmiddle",3,1.9
2018-08-13,"Lefty","Late Season","Early","Middle",2,1.9
2018-08-13,"Lefty","Late Season","Early","Bottommiddle",2,1.9
2018-08-13,"Lefty","Late Season","Early","Bottommiddle",3,1.9
2018-07-09,"Soddie","Mid Season","Control","Bottom",1,2.2
2018-07-20,"Soddie","Mid Season","Control","Bottommiddle",2,2.2
2018-07-20,"Soddie","Mid Season","Control","Bottom",1,2.2
2018-08-03,"Audubon","Late Season","Control","Bottommiddle",1,2.2
2018-08-03,"East Knoll","Late Season","Early","Bottommiddle",1,2.2
2018-08-03,"Lefty","Late Season","Control","Bottom",2,2.2
2018-08-03,"Lefty","Late Season","Early","Topmiddle",2,2.2
2018-08-03,"Lefty","Late Season","Early","Bottommiddle",3,2.2
2018-08-09,"Soddie","Late Season","Control","Topmiddle",3,2.2
2018-08-09,"Soddie","Late Season","Early","Top",1,2.2
2018-08-09,"Soddie","Late Season","Early","Top",2,2.2
2018-08-09,"Soddie","Late Season","Early","Bottommiddle",1,2.2
2018-08-09,"Soddie","Late Season","Early","Bottom",1,2.2
2018-08-13,"East Knoll","Late Season","Control","Bottommiddle",3,2.2
2018-08-13,"East Knoll","Late Season","Control","Bottom",3,2.2
2018-08-13,"East Knoll","Late Season","Early","Top",3,2.2
2018-08-13,"East Knoll","Late Season","Early","Topmiddle",1,2.2
2018-08-13,"East Knoll","Late Season","Early","Bottommiddle",2,2.2
2018-08-13,"East Knoll","Late Season","Early","Bottommiddle",3,2.2
2018-08-13,"Lefty","Late Season","Control","Topmiddle",1,2.2
2018-08-13,"Lefty","Late Season","Early","Topmiddle",2,2.2
2018-08-13,"Lefty","Late Season","Early","Middle",1,2.2
2018-08-13,"Lefty","Late Season","Early","Bottommiddle",1,2.2
2018-08-13,"Soddie","Late Season","Control","Topmiddle",1,2.2
2018-08-13,"Soddie","Late Season","Control","Bottom",2,2.2
2018-08-13,"Soddie","Late Season","Early","Top",2,2.2
2018-08-13,"Soddie","Late Season","Early","Middle",2,2.2
2018-08-13,"Soddie","Late Season","Early","Middle",3,2.2
2018-07-09,"Lefty","Mid Season","Early","Middle",3,2.6
2018-07-13,"Soddie","Mid Season","Control","Bottom",2,2.6
2018-08-03,"East Knoll","Late Season","Control","Top",3,2.6
2018-08-03,"East Knoll","Late Season","Control","Bottom",3,2.6
2018-08-03,"East Knoll","Late Season","Early","Bottom",3,2.6
2018-08-03,"Soddie","Late Season","Early","Bottom",3,2.6
2018-08-03,"Trough","Late Season","Control","Top",2,2.6
2018-08-09,"Lefty","Late Season","Early","Topmiddle",3,2.6
2018-08-09,"Lefty","Late Season","Early","Bottommiddle",1,2.6
2018-08-09,"Soddie","Late Season","Control","Top",3,2.6
2018-08-09,"Soddie","Late Season","Early","Middle",1,2.6
2018-08-13,"East Knoll","Late Season","Control","Middle",1,2.6
2018-08-13,"East Knoll","Late Season","Early","Topmiddle",2,2.6
2018-08-13,"East Knoll","Late Season","Early","Middle",1,2.6
2018-08-13,"East Knoll","Late Season","Early","Middle",3,2.6
2018-08-13,"East Knoll","Late Season","Early","Bottom",1,2.6
2018-08-13,"Lefty","Late Season","Control","Middle",3,2.6
2018-08-13,"Lefty","Late Season","Control","Bottom",1,2.6
2018-08-13,"Lefty","Late Season","Early","Middle",3,2.6
2018-08-13,"Soddie","Late Season","Control","Topmiddle",2,2.6
2018-08-13,"Soddie","Late Season","Early","Middle",1,2.6
2018-08-13,"Soddie","Late Season","Early","Bottommiddle",3,2.6
2018-07-20,"Soddie","Mid Season","Early","Middle",1,2.7
2018-08-13,"Soddie","Late Season","Control","Bottom",1,2.7
2018-07-20,"East Knoll","Mid Season","Early","Bottommiddle",1,2.9
2018-08-03,"Audubon","Late Season","Control","Bottommiddle",2,2.9
2018-08-03,"East Knoll","Late Season","Control","Bottom",2,2.9
2018-08-03,"East Knoll","Late Season","Early","Bottommiddle",2,2.9
2018-08-03,"Lefty","Late Season","Control","Middle",3,2.9
2018-08-03,"Soddie","Late Season","Early","Middle",2,2.9
2018-08-09,"Soddie","Late Season","Control","Topmiddle",2,2.9
2018-08-09,"Soddie","Late Season","Control","Middle",1,2.9
2018-08-09,"Soddie","Late Season","Control","Bottommiddle",3,2.9
2018-08-09,"Soddie","Late Season","Early","Middle",2,2.9
2018-08-09,"Soddie","Late Season","Early","Bottommiddle",2,2.9
2018-08-09,"Soddie","Late Season","Early","Bottommiddle",3,2.9
2018-08-13,"Audubon","Late Season","Control","Top",1,2.9
2018-08-13,"Audubon","Late Season","Control","Bottommiddle",3,2.9
2018-08-13,"East Knoll","Late Season","Early","Top",1,2.9
2018-08-13,"Lefty","Late Season","Control","Topmiddle",2,2.9
2018-08-13,"Lefty","Late Season","Control","Bottommiddle",1,2.9
2018-08-13,"Lefty","Late Season","Control","Bottommiddle",2,2.9
2018-08-13,"Lefty","Late Season","Early","Bottom",3,2.9
2018-08-13,"Soddie","Late Season","Control","Middle",2,2.9
2018-08-13,"Soddie","Late Season","Control","Middle",3,2.9
2018-08-13,"Soddie","Late Season","Control","Bottommiddle",3,2.9
2018-08-13,"Soddie","Late Season","Early","Top",3,2.9
2018-06-27,"East Knoll","Early Season","Early","Topmiddle",1,3.1
2018-08-06,"Soddie","Late Season","Control","Top",3,3.1
2018-07-05,"Soddie","Mid Season","Early","Middle",3,3.3
2018-07-09,"Soddie","Mid Season","Early","Bottommiddle",1,3.3
