"LTER_site","exp","site","treatment","subplot","x_coord","y_coord","closest_sensor","notes"
"NWT","bs","Audubon","Control","1",1,6.3,5,""
"NWT","bs","Audubon","Control","2",1.8,17.8,6,""
"NWT","bs","Audubon","Control","3",1.8,21.5,7,""
"NWT","bs","Audubon","Control","4",1.5,26.9,8,""
"NWT","bs","Audubon","Control","5",3.5,2.5,5,""
"NWT","bs","Audubon","Control","6",2.8,16.2,6,""
"NWT","bs","Audubon","Control","7",3.4,26.2,8,""
"NWT","bs","Audubon","Control","8",3.8,37.5,8,""
"NWT","bs_itex","Audubon","Control","CA",7.4,7.9,5,""
"NWT","bs_itex","Audubon","Control","WA",5.8,7.9,5,""
"NWT","bs_itex","Audubon","Control","CB",7.2,16.6,6,""
"NWT","bs_itex","Audubon","Control","WB",5.7,16.6,6,""
"NWT","bs_itex","Audubon","Control","CC",6.3,23.1,7,"also close to sensor 8"
"NWT","bs_itex","Audubon","Control","WC",4.7,23.1,7,"also close to sensor 8"
"NWT","bs_sen","Audubon","Control","sen_5",3.8,7.3,5,""
"NWT","bs_sen","Audubon","Control","sen_6",4,16.5,6,""
"NWT","bs_sen","Audubon","Control","sen_7",4.3,22.4,7,""
"NWT","bs_sen","Audubon","Control","sen_8",4.2,26.4,8,""
"NWT","bs","Audubon","Early","1",1.1,1.1,5,""
"NWT","bs","Audubon","Early","2",1.1,14.2,6,""
"NWT","bs","Audubon","Early","3",1.1,28.3,8,""
"NWT","bs","Audubon","Early","4",1.7,36.2,8,""
"NWT","bs","Audubon","Early","5",3.4,0.1,5,""
"NWT","bs","Audubon","Early","6",4.7,16,6,""
"NWT","bs","Audubon","Early","7",3.8,24.9,7,""
"NWT","bs","Audubon","Early","8",2.2,38.5,8,""
"NWT","bs_itex","Audubon","Early","CA",6.5,5.2,5,""
"NWT","bs_itex","Audubon","Early","WA",4.7,5.2,5,""
"NWT","bs_itex","Audubon","Early","CB",8.5,15.9,6,""
"NWT","bs_itex","Audubon","Early","WB",6.7,15.9,6,""
"NWT","bs_itex","Audubon","Early","CC",7.9,26,7,"also close to sensor 8"
"NWT","bs_itex","Audubon","Early","WC",2.7,26,7,"also close to sensor 8"
"NWT","bs_sen","Audubon","Early","sen_5",4.5,9.9,5,""
"NWT","bs_sen","Audubon","Early","sen_6",4.7,16.4,6,""
"NWT","bs_sen","Audubon","Early","sen_7",5,24.4,7,""
"NWT","bs_sen","Audubon","Early","sen_8",4.1,30,8,""
"NWT","bs","East_Knoll","Control","1",1.4,4.4,5,""
"NWT","bs","East_Knoll","Control","2",0.9,14.1,6,""
"NWT","bs","East_Knoll","Control","3",3.3,23.3,7,""
"NWT","bs","East_Knoll","Control","4",1.5,34.4,8,""
"NWT","bs","East_Knoll","Control","5",3.5,4.5,5,""
"NWT","bs","East_Knoll","Control","6",2.9,14.3,6,""
"NWT","bs","East_Knoll","Control","7",3.3,24.3,7,""
"NWT","bs","East_Knoll","Control","8",2.9,34.4,8,""
"NWT","bs_itex","East_Knoll","Control","CA",8.9,6.7,5,""
"NWT","bs_itex","East_Knoll","Control","WA",7.3,6.7,5,""
"NWT","bs_itex","East_Knoll","Control","CB",8.2,25.4,7,""
"NWT","bs_itex","East_Knoll","Control","WB",6.6,25.4,7,""
"NWT","bs_itex","East_Knoll","Control","CC",8.7,32.1,8,""
"NWT","bs_itex","East_Knoll","Control","WC",7.2,32.1,8,""
"NWT","bs_sen","East_Knoll","Control","sen_5",5,6.1,5,""
"NWT","bs_sen","East_Knoll","Control","sen_6",4.9,16.2,6,""
"NWT","bs_sen","East_Knoll","Control","sen_7",5.1,23.7,7,""
"NWT","bs_sen","East_Knoll","Control","sen_8",4.8,34.7,8,""
"NWT","bs","East_Knoll","Early","1",2.8,5.1,5,""
"NWT","bs","East_Knoll","Early","2",1,14.6,6,""
"NWT","bs","East_Knoll","Early","3",1.4,24.5,7,""
"NWT","bs","East_Knoll","Early","4",0.9,34.5,8,""
"NWT","bs","East_Knoll","Early","5",3.7,4.5,5,""
"NWT","bs","East_Knoll","Early","6",3,14.8,6,""
"NWT","bs","East_Knoll","Early","7",3.7,24.5,7,""
"NWT","bs","East_Knoll","Early","8",3,34.5,8,""
"NWT","bs_itex","East_Knoll","Early","CA",7.1,7.1,5,""
"NWT","bs_itex","East_Knoll","Early","WA",5.2,7.1,5,""
"NWT","bs_itex","East_Knoll","Early","CB",8.7,20,6,"similarly close to sensor 7"
"NWT","bs_itex","East_Knoll","Early","WB",6.7,20,6,"similarly close to sensor 7"
"NWT","bs_itex","East_Knoll","Early","CC",8.1,31.4,8,""
"NWT","bs_itex","East_Knoll","Early","WC",6.5,31.4,8,""
"NWT","bs_sen","East_Knoll","Early","sen_5",4.6,6.7,5,""
"NWT","bs_sen","East_Knoll","Early","sen_6",4.1,16.9,6,""
"NWT","bs_sen","East_Knoll","Early","sen_7",4.9,24.6,7,""
"NWT","bs_sen","East_Knoll","Early","sen_8",4.6,34.2,8,""
"NWT","bs","Lefty","Control","1",1,3.6,5,""
"NWT","bs","Lefty","Control","2",1.7,14.2,6,""
"NWT","bs","Lefty","Control","3",1.3,23.1,7,""
"NWT","bs","Lefty","Control","4",1.2,31.8,8,""
"NWT","bs","Lefty","Control","5",2.2,5.7,5,""
"NWT","bs","Lefty","Control","6",2.8,14.8,6,""
"NWT","bs","Lefty","Control","7",3.2,20.8,7,""
"NWT","bs","Lefty","Control","8",4.1,37.7,8,""
"NWT","bs_itex","Lefty","Control","CA",9,6.1,5,""
"NWT","bs_itex","Lefty","Control","WA",7.4,6.1,5,""
"NWT","bs_itex","Lefty","Control","CB",7,11,5,"similarly close to sensor 6"
"NWT","bs_itex","Lefty","Control","WB",5.6,11,5,"similarly close to sensor 6"
"NWT","bs_itex","Lefty","Control","CC",6.6,16.5,6,""
"NWT","bs_itex","Lefty","Control","WC",5.2,16.5,6,""
"NWT","bs_sen","Lefty","Control","sen_5",4,6.6,5,""
"NWT","bs_sen","Lefty","Control","sen_6",4.7,17.7,6,""
"NWT","bs_sen","Lefty","Control","sen_7",5.8,21.6,7,""
"NWT","bs_sen","Lefty","Control","sen_8",4.3,32,8,""
"NWT","bs","Lefty","Early","1",1,3.5,5,""
"NWT","bs","Lefty","Early","2",0.9,12.7,6,""
"NWT","bs","Lefty","Early","3",1.5,27.6,8,""
"NWT","bs","Lefty","Early","4",1.4,29.4,8,""
