"site","treatment","timepoint","exclusion_treatment","plant_id","number_heads","total_viable_seeds"
"Audubon","Early","1","ClosedToPollinators","1","2","0"
"Audubon","Early","1","ClosedToPollinators","2","2","0"
"Audubon","Early","1","ClosedToPollinators","3","1","0"
"Audubon","Early","1","ClosedToPollinators","4","1","0"
"Audubon","Early","1","ClosedToPollinators","5","1","0"
"Audubon","Early","1","ClosedToPollinators","6","1","1"
"Audubon","Early","1","ClosedToPollinators","7","1","0"
"Audubon","Early","1","ClosedToPollinators","8","1","0"
"Audubon","Early","1","ClosedToPollinators","9","1","0"
"Audubon","Early","1","ClosedToPollinators","10","1","0"
"Audubon","Early","2","ClosedToPollinators","6","1","0"
"Audubon","Early","2","ClosedToPollinators","8","1","0"
"Audubon","Early","2","ClosedToPollinators","2","1","0"
"Audubon","Early","2","ClosedToPollinators","2","3","0"
"Audubon","Early","2","ClosedToPollinators","3","1","0"
"Audubon","Early","2","ClosedToPollinators","4","3","0"
"Audubon","Early","2","ClosedToPollinators","5","1","0"
"Audubon","Early",NA,"ClosedToPollinators","1","1","0"
"Audubon","Early",NA,"ClosedToPollinators","1","3","0"
"Audubon","Early",NA,"ClosedToPollinators",NA,"1","0"
"Audubon","Early",NA,"ClosedToPollinators",NA,"1","0"
"Audubon","Early","2","ClosedToPollinators","10","1","2"
"Audubon","Early","2","ClosedToPollinators","9","1","0"
"Audubon","Early","3","ClosedToPollinators","1","1","0"
"Audubon","Early","3","ClosedToPollinators","2","1","0"
"Audubon","Early","3","ClosedToPollinators","5","1","0"
"Audubon","Early","3","ClosedToPollinators","6","1","0"
"Trough","Early","1","ClosedToPollinators","8","1","0"
"Trough","Early","1","ClosedToPollinators","15","2","20"
"Trough","Early","1","ClosedToPollinators","17","1","0"
"Audubon","Early","3","ClosedToPollinators","3","2","0"
"Audubon","Early","3","ClosedToPollinators","8","2","2"
"Audubon","Early","3","ClosedToPollinators",NA,"1","0"
"Audubon","Early","3","ClosedToPollinators",NA,"1","0"
"Audubon","Early","3","ClosedToPollinators",NA,"2","0"
"Audubon","Early","3","ClosedToPollinators",NA,"2","0"
"Audubon","Early","3","ClosedToPollinators",NA,"3","0"
"Audubon","Early","3","ClosedToPollinators",NA,"3","0"
"Trough","Early","1","ClosedToPollinators","1","1","0"
"Trough","Early","1","ClosedToPollinators","2","1","0"
"Trough","Early","1","ClosedToPollinators","5","2","0"
"Trough","Early","1","ClosedToPollinators","10","1","5"
"Trough","Early","1","ClosedToPollinators","12","1","0"
"Trough","Early","1","ClosedToPollinators","13","1","0"
"Trough","Early","1","ClosedToPollinators","14","2","0"
"Trough","Early","1","ClosedToPollinators",NA,"1","0"
"Lefty","Early","1","ClosedToPollinators","1","1","5"
"Lefty","Early","1","ClosedToPollinators","2","1","0"
"Lefty","Early","1","ClosedToPollinators","3","1","0"
"Lefty","Early","1","ClosedToPollinators","4","1","0"
"Lefty","Early","1","ClosedToPollinators","5","1","0"
"Lefty","Early","1","ClosedToPollinators","6","1","1"
"Lefty","Early","1","ClosedToPollinators","7","2","14"
"Lefty","Early","1","ClosedToPollinators",NA,"2","10"
"Lefty","Early","1","ClosedToPollinators","9","1","6"
"Lefty","Early","1","ClosedToPollinators","10","1","0"
"Lefty","Early","1","ClosedToPollinators","8","1","2"
"EastKnoll","Early","2","ClosedToPollinators","9","1","2"
"EastKnoll","Early","2","ClosedToPollinators","10","1","0"
"EastKnoll","Early","3","ClosedToPollinators",NA,"1","6"
"EastKnoll","Early",NA,"ClosedToPollinators",NA,"1","0"
"Lefty","Early","2","ClosedToPollinators",NA,"1","6"
"Lefty","Early","2","ClosedToPollinators","1","2","0"
"Lefty","Early",NA,"ClosedToPollinators",NA,"1","2"
"Lefty","Early","2","ClosedToPollinators","6","2","4"
"Lefty","Early","2","ClosedToPollinators","7","2","6"
"Lefty","Early","3","ClosedToPollinators","20","1","0"
"Lefty","Early","3","ClosedToPollinators","21","1","0"
"Lefty","Early","3","ClosedToPollinators","22","1","0"
"Lefty","Early","3","ClosedToPollinators",NA,"1","0"
"Trough","Early","2","ClosedToPollinators","1","3","2"
"Trough","Early","2","ClosedToPollinators","3","1","0"
"Trough","Early","2","ClosedToPollinators","7","2","0"
"Trough","Early","2","ClosedToPollinators","10","2","0"
"Trough","Early","3","ClosedToPollinators",NA,"2","3"
"EastKnoll","Early","1","ClosedToPollinators","1","3","4"
"EastKnoll","Early","1","ClosedToPollinators","3","1","0"
"EastKnoll","Early","1","ClosedToPollinators","6","1","3"
"EastKnoll","Early","1","ClosedToPollinators","7","1","7"
"EastKnoll","Early","1","ClosedToPollinators","8","1","0"
"EastKnoll","Early","3","ClosedToPollinators","1","1","0"
"EastKnoll","Early","3","ClosedToPollinators","2","2","0"
"EastKnoll","Early","3","ClosedToPollinators","4","2","6"
"EastKnoll","Early","3","ClosedToPollinators",NA,"1","0"
"EastKnoll","Early","3","ClosedToPollinators",NA,"2","0"
"EastKnoll","Early","3","ClosedToPollinators",NA,"2","8"
"EastKnoll","Early","3","ClosedToPollinators",NA,"1","7"
"EastKnoll","Early","2","ClosedToPollinators","2","1","0"
"EastKnoll","Early","2","ClosedToPollinators","2","1","3"
"EastKnoll","Early","2","ClosedToPollinators","5","2","7"
"Trough","Early","1","ClosedToPollinators","4","2","0"
"Trough","Early","1","ClosedToPollinators","15","1","15"
"Trough","Early","1","ClosedToPollinators","16","1","7"
"Trough","Early","2","ClosedToPollinators","2","1","2"
"Trough","Early","2","ClosedToPollinators","4","1","6"
"Trough","Early","2","ClosedToPollinators","5","2","9"
"Trough","Early","2","ClosedToPollinators","6","2","13"
"Trough","Early","2","ClosedToPollinators","8","1","6"
"Trough","Early","2","ClosedToPollinators","9","1","8"
"Trough","Early","2","ClosedToPollinators",NA,"1","3"
"Trough","Early","2","ClosedToPollinators",NA,"1","3"
"Trough","Early","2","ClosedToPollinators",NA,"1","3"
"Trough","Early","2","ClosedToPollinators",NA,"1","6"
"Trough","Early","2","ClosedToPollinators",NA,"1","7"
"Trough","Early","2","ClosedToPollinators",NA,"1","10"
"Trough","Early","2","ClosedToPollinators",NA,"1","4"
"EastKnoll","Early","1","ClosedToPollinators","4","1","8"
"EastKnoll","Early","1","ClosedToPollinators","5","2","7"
"EastKnoll","Early","1","ClosedToPollinators","1","1","3"
"EastKnoll","Early","1","ClosedToPollinators","2","1","8"
"EastKnoll","Early","1","ClosedToPollinators","10","1","3"
"EastKnoll","Early","1","ClosedToPollinators","9","1","5"
"EastKnoll","Early","2","ClosedToPollinators","4","1","0"
"EastKnoll","Early","2","ClosedToPollinators","3","1","5"
"EastKnoll","Early","2","ClosedToPollinators","6","1","5"
"EastKnoll","Early","2","ClosedToPollinators","8","1","8"
"EastKnoll","Early","2","ClosedToPollinators","7","1","0"
"Lefty","Early","3","ClosedToPollinators","24","1","7"
"EastKnoll","Early",NA,"ClosedToPollinators","5","2","10"
"Audubon","Control","1","ClosedToPollinators","3","1","6"
"Audubon","Control","1","ClosedToPollinators","4","2","3"
"Audubon","Control","1","ClosedToPollinators","7","1","0"
"Audubon","Control","1","ClosedToPollinators","2","2","0"
"Audubon","Control","1","ClosedToPollinators","6","1","2"
"Audubon","Control","1","ClosedToPollinators","8","1","0"
"Audubon","Control","1","ClosedToPollinators","9","1","0"
"Audubon","Control","1","ClosedToPollinators","10","1","2"
"Audubon","Control","1","ClosedToPollinators",NA,"1","0"
"Audubon","Control","1","ClosedToPollinators","5","1","0"
"Audubon","Control","2","ClosedToPollinators","1","1","0"
"Audubon","Control","2","ClosedToPollinators","2","1","5"
"Audubon","Control","2","ClosedToPollinators","4","1","0"
"Audubon","Control","2","ClosedToPollinators","5","1","5"
"Audubon","Control","2","ClosedToPollinators","6","2","0"
"Audubon","Control","2","ClosedToPollinators","7","1","0"
"Audubon","Control","2","ClosedToPollinators","8","1","12"
"Audubon","Control","2","ClosedToPollinators","9","3","16"
"Audubon","Control","3","ClosedToPollinators","2","1","0"
"Audubon","Control","3","ClosedToPollinators","3","1","1"
"Audubon","Control","3","ClosedToPollinators",NA,"1","2"
"Audubon","Control","2","ClosedToPollinators","3","3","0"
"Audubon","Control","2","ClosedToPollinators","10","1","0"
"Audubon","Control","3","ClosedToPollinators","1","1","0"
"EastKnoll","Control","1","ClosedToPollinators","2","1","0"
"EastKnoll","Control","1","ClosedToPollinators","4","1","0"
"EastKnoll","Control","1","ClosedToPollinators","5","1","3"
"EastKnoll","Control","1","ClosedToPollinators","6","1","0"
"EastKnoll","Control","1","ClosedToPollinators","8","1","1"
"EastKnoll","Control","1","ClosedToPollinators","9","1","0"
"EastKnoll","Control","1","ClosedToPollinators","10","1","0"
"EastKnoll","Control","2","ClosedToPollinators","3","1","7"
"EastKnoll","Control","2","ClosedToPollinators","6","1","0"
"EastKnoll","Control",NA,"ClosedToPollinators","4","1","0"
"Lefty","Control","1","ClosedToPollinators","4","1","0"
"Lefty","Control","1","ClosedToPollinators",NA,"1","2"
"Lefty","Control","1","ClosedToPollinators",NA,"2","0"
"EastKnoll","Control","2","ClosedToPollinators","5","2","7"
"EastKnoll","Control",NA,"ClosedToPollinators",NA,"1","0"
"EastKnoll","Control",NA,"ClosedToPollinators",NA,"1","0"
"EastKnoll","Control",NA,"ClosedToPollinators",NA,"1","6"
"Lefty","Control","2","ClosedToPollinators","4","1","0"
"Lefty","Control","2","ClosedToPollinators","10","1","0"
"Audubon","Control","3","ClosedToPollinators","7","1","0"
"Audubon","Control","3","ClosedToPollinators","8","1","0"
"Lefty","Control","2","ClosedToPollinators","8","2","3"
"Lefty","Control","3","ClosedToPollinators","2","1","0"
"Lefty","Control","3","ClosedToPollinators","3","1","0"
"Lefty","Control","3","ClosedToPollinators","4","1","0"
"Lefty","Control","3","ClosedToPollinators","5","1","0"
"Lefty","Control","3","ClosedToPollinators","6","3","2"
"Lefty","Control","3","ClosedToPollinators","7","1","5"
"Lefty","Control","3","ClosedToPollinators","8","1","0"
"Lefty","Control","3","ClosedToPollinators","9","1","4"
"Lefty","Control","3","ClosedToPollinators","10","1","0"
"EastKnoll","Control","3","ClosedToPollinators","1","1","3"
"EastKnoll","Control","2","ClosedToPollinators","5","2","7"
"Trough","Control","1","ClosedToPollinators","7","3","16"
"Trough","Control","1","ClosedToPollinators","10","1","7"
"Trough","Control","2","ClosedToPollinators","3","1","6"
"Trough","Control","2","ClosedToPollinators","4","1","2"
"Trough","Control","2","ClosedToPollinators","6","1","6"
"Trough","Control","2","ClosedToPollinators","8","2","4"
"EastKnoll","Control","3","ClosedToPollinators","2","2","11"
"Trough","Control","1","ClosedToPollinators","4","1","5"
"Trough","Control","1","ClosedToPollinators","8","1","3"
"EastKnoll","Control","1","ClosedToPollinators","7","1","6"
"EastKnoll","Control","1","ClosedToPollinators","3","1","3"
"EastKnoll","Control","1","ClosedToPollinators","1","1","7"
"EastKnoll","Control","1","ClosedToPollinators","5","1","6"
"EastKnoll","Control","1","ClosedToPollinators","6","2","5"
"EastKnoll","Control","2","ClosedToPollinators","2","1","3"
"EastKnoll","Control","2","ClosedToPollinators","10","1","4"
"EastKnoll","Control","2","ClosedToPollinators","7","1","6"
"EastKnoll","Control","2","ClosedToPollinators","9","1","0"
