"site","treatment","subplot","slope","elevation","tpi3","tpi11","tpi31"
"Audubon","Control","A","0.234350085","3473.965332","0.01071167","0.023248291","0.077526347"
"Audubon","Control","B","0.214634757","3472.022705","-0.046081543","-0.109676107","-0.143244171"
"Audubon","Control","C","0.192460504","3470.750244","0.015258789","0.037841797","0.127257029"
"Audubon","Control","D","0.216397665","3475.518066","0.013458252","0.123919678","0.368819936"
"Audubon","Control","E","0.354631744","3468.925293","-0.010559082","0.089272054","0.260536194"
"EastKnoll","Control","A","0.294343575","3517.849609","-0.014862061","-0.031361898","-0.04951121"
"EastKnoll","Control","B","0.244953533","3513.39502","0.003936768","0.166029867","0.291788991"
"EastKnoll","Control","C","0.251281015","3511.803223","0.006561279","0.047934977","0.240303294"
"EastKnoll","Control","D","0.233706364","3519.506348","-0.118896484","-0.20699056","-0.176537577"
"EastKnoll","Control","E","0.267782554","3510.485596","0.019683838","0.01089681","0.206598409"
"Lefty","Control","A","0.18615041","3455.775391","0.023040771","0.20189209","0.618943024"
"Lefty","Control","B","0.268874229","3452.953369","0.035797119","0.086102295","0.520802053"
"Lefty","Control","C","0.329396775","3451.388672","0.045715332","0.146225993","0.585582479"
"Lefty","Control","D","0.424038667","3449.342773","0.03729248","0.301896159","0.458083089"
"Lefty","Control","E","0.413995434","3446.354248","-0.075775146","-0.313950602","-0.657406362"
"Lefty","Control","F","0.232304271","3444.049805","-0.054626465","0.023850505","-0.085824839"
"Trough","Control","A","0.12649865","3413.930908","-0.008514404","-0.421455892","-1.113989258"
"Trough","Control","B","0.260723825","3412.525635","0.077789307","0.137756348","0.069077301"
"Trough","Control","C","0.132235232","3410.519531","0.023101807","0.089282227","-0.069020844"
"Trough","Control","D","0.493291743","3414.648926","-0.035858154","-0.408211263","-1.006957499"
"Trough","Control","E","0.198914159","3411.415039","-0.053009033","-0.028544108","-0.155894216"
"Audubon","Early","A","0.194401825","3474.245361","0.028167725","-0.009983317","0.051864878"
"Audubon","Early","B","0.181717125","3472.228271","0.031829834","0.019327799","0.205610911"
"Audubon","Early","C","0.262711779","3470.045654","-0.019073486","0.038517253","0.497830709"
"Audubon","Early","D","0.134371424","3475.053711","0.001678467","-0.012050374","-0.036134084"
"Audubon","Early","E","0.380457629","3467.274658","-0.049285889","-0.125626628","-0.082056936"
"EastKnoll","Early","A","0.281601587","3517.892334","0.018432617","0.055908203","0.159353892"
"EastKnoll","Early","B","0.267358265","3514.319092","0.02746582","0.032609049","0.113929749"
"EastKnoll","Early","C","0.24719935","3510.740723","-0.03515625","-0.086242676","-0.119253031"
"EastKnoll","Early","D","0.221085116","3519.171875","-0.015136719","-0.015663656","0.05757192"
"EastKnoll","Early","E","0.29505764","3509.741211","0.002075195","0.093137614","0.216948191"
"Lefty","Early","A","0.263405942","3454.822021","0.073516846","0.163153076","0.681404114"
"Lefty","Early","B","0.316323872","3453.27832","0.040161133","0.077640788","0.455103302"
"Lefty","Early","C","0.369392581","3448.83667","0.042633057","0.162404378","0.076867167"
"Lefty","Early","D","0.3412941","3451.130615","-0.01965332","-0.160593669","0.026556905"
"Lefty","Early","E","0.389522828","3446.583496","-0.023468018","-0.139650472","-0.526080831"
"Lefty","Early","F","0.1417128","3444.468994","-0.043579102","-0.00980835","-0.048764038"
"Trough","Early","A","0.335514991","3414.746826","0.022613525","-0.086442057","-0.724487559"
"Trough","Early","B","0.03616834","3413.434082","-0.024169922","-0.176226807","-0.681746674"
"Trough","Early","C","0.215388975","3411.267822","-0.07699585","-0.118139648","-0.141852824"
"Trough","Early","D","0.126569519","3412.816406","-0.006286621","0.153690592","0.206637573"
"Trough","Early","E","0.343165092","3410.911621","0.168914795","0.157639567","-0.036325073"
