"date","site","treatment","subplot","plotsize","obsstart","obsend","cloudcover","temp","windmax","windavg","relhum","visittime","visitor_family","visitor_nomenclature","visitor_collected_id","plant_sp","collected_yn","visitornumber","flowervisitnumber"
2020-08-21,"Lefty","Control","D",2,11:12:00,11:27:00,0,69.5,8.9,3.4,32.3,11:23:00,"Halictidae","Agapostemum.sp","Agopostemum.angelicus","Solidago_simplex",1,1839,1
2020-07-14,"EastKnoll","Early","B",2,10:19:00,10:34:00,6.67,62.2,3.7,1.2,44.7,10:26:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Minuartia_obtusiloba",1,818,1
2020-07-24,"Trough","Early","B",2,12:56:00,13:11:00,50,71.6,5.4,1.2,43.3,12:58:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Geum_rossii",1,1218,1
2020-07-25,"Lefty","Early","A",2,09:12:00,09:27:00,100,61.8,0.7,0,55.6,09:16:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Solidago_simplex",1,1234,1
2020-07-29,"Trough","Control","E",2,11:51:00,12:06:00,0,58.9,9.6,4.9,46.7,11:56:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Geum_rossii",1,1258,1
2020-08-06,"Lefty","Control","C",2,10:41:00,10:54:00,100,57.2,5.8,1.2,48,10:41:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Solidago_simplex",1,1428,1
2020-08-07,"Trough","Early","B",2,11:10:00,11:25:00,0,64.3,6.9,1.4,25.5,11:13:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Geum_rossii",0,1493,1
2020-08-15,"Trough","Control","B",2,12:34:00,12:49:00,0,69.4,7.3,2.4,21.5,12:35:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spA","Ligusticum_tenuifolium",0,1638,1
2020-07-02,"EastKnoll","Control","C",2,09:52:00,10:07:00,0,59,6.9,1.9,32.2,09:52:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Bistorta_bistortoides",1,256,1
2020-07-10,"Lefty","Control","A",2,09:05:00,09:20:00,0,63.8,8.7,3.6,22.1,09:14:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Bistorta_bistortoides",1,614,1
2020-07-17,"Trough","Control","E",2,15:04:00,15:19:00,73.33,69.7,8.9,3,32,15:16:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Geum_rossii",1,972,1
2020-07-24,"Audubon","Control","B",2,09:59:00,10:14:00,13.33,59.4,1.7,0.7,63,10:11:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Geum_rossii",1,1200,1
2020-07-24,"Audubon","Control","C",2,10:15:00,10:30:00,28.33,57.4,7,1,60.5,10:21:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Geum_rossii",0,1202,1
2020-07-25,"Lefty","Early","A",2,09:12:00,09:27:00,100,61.8,0.7,0,55.6,09:19:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Solidago_simplex",1,1235,1
2020-07-26,"Lefty","Early","B",2,11:19:00,11:29:00,100,56.7,5.1,1.6,67.3,11:24:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Solidago_simplex",1,1250,1
2020-07-30,"Audubon","Control","C",2,09:50:00,10:00:00,30,51.4,16.2,2.3,59.5,09:56:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Geum_rossii",1,1278,1
2020-07-30,"Audubon","Control","D",2,10:12:00,10:22:00,30,55.3,5.3,0.9,52,10:21:00,"Anthomyiidae","Diptera.sp","Anthomyiid.spB","Arenaria_fendleri",1,1286,1
